2021-11-09_14-08-56,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 3000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 2}
2021-11-09_14-27-51,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 3000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 2}
2021-11-09_14-55-35,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 3000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 2}
2021-11-11_23-55-49,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_00-11-42,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_00-28-54,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_00-33-28,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_00-57-30,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_01-13-14,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
2021-11-12_01-30-39,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 3}
