2021-07-14_12-08-55,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 65, 'reps': 10000, 'fluctuation': 0, 'period': 7, 'warm_up': 0, 'run_length': 90}
2021-07-14_13-30-11,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 65, 'reps': 10000, 'fluctuation': 0, 'period': 28, 'warm_up': 0, 'run_length': 90}
2021-07-14_14-18-50,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 25, 'reps': 10000, 'fluctuation': 0, 'period': 28, 'warm_up': 0, 'run_length': 90}
2021-07-14_14-49-20,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 0, 'y_0': 0, 'reps': 1000, 'fluctuation': 0, 'period': 28, 'warm_up': 2000, 'run_length': 2000}
2021-07-14_15-11-41,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 65, 'reps': 10000, 'fluctuation': 0, 'period': 28, 'warm_up': 0, 'run_length': 90}
2021-07-14_16-30-13,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 65, 'reps': 10000, 'fluctuation': 0.25, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-14_17-20-02,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 25, 'reps': 10000, 'fluctuation': 0.25, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-14_17-41-53,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 0, 'y_0': 0, 'reps': 1000, 'fluctuation': 0.25, 'period': 1, 'warm_up': 2000, 'run_length': 2000}
2021-07-14_18-13-14,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 65, 'reps': 10000, 'fluctuation': 0.25, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-14_19-29-09,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 65, 'reps': 10000, 'fluctuation': 0.25, 'period': 7, 'warm_up': 0, 'run_length': 90}
2021-07-14_20-20-09,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 25, 'reps': 10000, 'fluctuation': 0.25, 'period': 7, 'warm_up': 0, 'run_length': 90}
2021-07-14_20-33-49,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 0, 'y_0': 0, 'reps': 1000, 'fluctuation': 0.25, 'period': 7, 'warm_up': 2000, 'run_length': 2000}
2021-07-14_21-14-50,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 65, 'reps': 10000, 'fluctuation': 0.25, 'period': 7, 'warm_up': 0, 'run_length': 90}
2021-07-14_22-21-32,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 65, 'reps': 10000, 'fluctuation': 0.25, 'period': 28, 'warm_up': 0, 'run_length': 90}
2021-07-14_23-09-32,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 25, 'reps': 10000, 'fluctuation': 0.25, 'period': 28, 'warm_up': 0, 'run_length': 90}
